"","Player","Country","Start","End","Matches","Innings","Dismissals","Caught","CaughtFielder","CaughtBehind","Stumped","MaxDismissalsInnings"
"105","SB Styris ","New Zealand",1999,2011,188,185,73,73,73,0,0,3
"106","E Chigumbura (Afr/ZIM)",NA,2004,2018,213,212,72,72,72,0,0,4
"107","GO Jones (ENG/PNG)",NA,2004,2014,51,51,72,68,0,68,4,5
"108","Harbhajan Singh (Asia/INDIA)",NA,1998,2015,236,231,71,71,71,0,0,3
"109","N Kapil Dev ","India",1978,1994,225,222,71,71,71,0,0,3
"110","KD Karthik ","India",2004,2019,94,94,71,64,29,35,7,4
"111","H Masakadza ","Zimbabwe",2001,2019,209,209,71,71,71,0,0,2
"112","MS Atapattu ","Sri Lanka",1990,2007,268,266,70,70,70,0,0,3
"113","MG Bevan ","Australia",1994,2004,232,230,69,69,69,0,0,3
"114","DR Martyn ","Australia",1992,2006,208,205,69,69,69,0,0,3
"115","A Bagai ","Canada",2003,2013,62,62,68,59,1,58,9,4
"116","CO Browne ","West Indies",1995,2005,46,46,68,59,0,59,9,5
"117","ML Hayden (AUS/ICC)",NA,1993,2008,161,158,68,68,68,0,0,2
"118","DJG Sammy ","West Indies",2004,2015,126,124,67,67,67,0,0,3
"119","SPD Smith ","Australia",2010,2020,125,125,67,67,67,0,0,3
"120","SO Tikolo (Afr/KENYA)",NA,1996,2014,135,135,67,67,67,0,0,3
"121","CL Cairns (ICC/NZ)",NA,1991,2006,215,214,66,66,66,0,0,3
"122","LD Chandimal ","Sri Lanka",2010,2019,146,143,66,59,28,31,7,4
"123","MD Crowe ","New Zealand",1982,1995,143,141,66,66,66,0,0,3
"124","Misbah-ul-Haq ","Pakistan",2002,2015,162,160,66,66,66,0,0,4
"125","C Kieswetter ","England",2010,2013,46,45,65,53,1,52,12,5
"126","GJ Maxwell ","Australia",2012,2019,110,110,65,65,65,0,0,4
"127","GA Hick ","England",1991,2001,120,119,64,64,64,0,0,3
"128","Mahmudullah ","Bangladesh",2007,2020,188,187,64,64,64,0,0,3
"129","KJ O'Brien ","Ireland",2006,2020,145,141,64,64,64,0,0,3
"130","WTS Porterfield ","Ireland",2006,2020,139,134,64,64,64,0,0,3
"131","SR Watson ","Australia",2002,2015,190,189,64,64,64,0,0,2
"132","A Ranatunga ","Sri Lanka",1982,1999,269,268,63,63,63,0,0,3
"133","DJ Cullinan ","South Africa",1993,2000,138,135,62,62,62,0,0,3
"134","S Dhawan ","India",2010,2020,136,134,62,62,62,0,0,4
"135","G Kirsten ","South Africa",1993,2003,185,183,62,61,60,1,1,3
"136","Mashrafe Mortaza (Asia/BDESH)",NA,2001,2020,220,220,62,62,62,0,0,2
"137","NLTC Perera ","Sri Lanka",2009,2020,164,160,62,62,62,0,0,2
"138","Wasim Bari ","Pakistan",1973,1984,51,50,62,52,0,52,10,4
"139","AL Logie ","West Indies",1981,1993,158,158,61,61,61,0,0,3
"140","DA Miller ","South Africa",2010,2020,132,128,61,61,61,0,0,3
"141","KA Pollard ","West Indies",2007,2020,113,111,61,61,61,0,0,4
"142","AJ Finch ","Australia",2013,2020,126,126,60,60,60,0,0,3
"143","WPUJC Vaas (Asia/SL)",NA,1994,2008,322,320,60,60,60,0,0,2
"144","KS Williamson ","New Zealand",2010,2020,151,150,60,60,60,0,0,3
"145","DL Haynes ","West Indies",1978,1994,238,236,59,59,59,0,0,2
"146","A Jadeja ","India",1992,2000,196,195,59,59,59,0,0,2
"147","RA Jadeja ","India",2009,2020,165,164,58,58,58,0,0,2
"148","Mohammad Yousuf (Asia/PAK)",NA,1998,2010,288,285,58,58,58,0,0,2
"149","MA Ouma ","Kenya",2004,2014,80,80,58,48,5,43,10,5
"150","KO Otieno ","Kenya",1996,2009,90,90,57,43,3,40,14,4
"151","AJ Strauss ","England",2003,2011,127,127,57,57,57,0,0,3
"152","MA Taylor ","Australia",1989,1997,113,113,56,56,56,0,0,4
"153","RA Harper ","West Indies",1983,1996,105,105,55,55,55,0,0,3
"154","M Kaif ","India",2002,2006,125,122,55,55,55,0,0,4
"155","Mohammad Nabi ","Afghanistan",2009,2019,124,121,55,55,55,0,0,3
"156","TD Paine ","Australia",2009,2018,35,34,55,51,0,51,4,5
"157","PV Simmons ","West Indies",1987,1999,143,143,55,55,55,0,0,4
"158","DA Warner ","Australia",2009,2020,123,123,55,55,55,0,0,2
"159","IR Bell ","England",2004,2015,161,160,54,54,54,0,0,3
"160","DM Jones ","Australia",1984,1994,164,164,54,54,54,0,0,2
"161","B Lee ","Australia",2000,2012,221,217,54,54,54,0,0,3
"162","Tamim Iqbal ","Bangladesh",2007,2020,207,206,54,54,54,0,0,2
"163","JM Anderson ","England",2002,2015,194,192,53,53,53,0,0,3
"164","AD Mathews ","Sri Lanka",2008,2020,217,213,53,53,53,0,0,3
"165","JR Murray ","West Indies",1992,1999,55,55,53,46,2,44,7,3
"166","AB Agarkar ","India",1998,2007,191,188,52,52,52,0,0,2
"167","CS Baugh ","West Indies",2003,2012,47,46,51,39,0,39,12,4
"168","JDP Oram ","New Zealand",2001,2012,160,159,51,51,51,0,0,2
"169","JG Wright ","New Zealand",1978,1992,149,147,51,51,51,0,0,2
"170","JO Holder ","West Indies",2013,2020,115,112,50,50,50,0,0,2
"171","MN Samuels ","West Indies",2000,2018,207,207,50,50,50,0,0,2
"172","Shakib Al Hasan ","Bangladesh",2006,2019,206,205,50,50,50,0,0,3
"173","WU Tharanga (Asia/SL)",NA,2005,2019,235,228,50,50,50,0,0,3
"174","P Utseya ","Zimbabwe",2004,2015,164,164,50,50,50,0,0,2
"175","SC Williams ","Zimbabwe",2005,2020,133,132,50,50,50,0,0,3
"176","Aamer Sohail ","Pakistan",1990,2000,156,154,49,49,49,0,0,2
"177","AP Gurusinha ","Sri Lanka",1985,1996,147,147,49,49,47,2,0,2
"178","WB Phillips ","Australia",1982,1986,48,48,49,42,0,42,7,4
"179","ME Trescothick ","England",2000,2006,123,121,49,49,45,4,0,3
"180","KC Wessels (AUS/SA)",NA,1983,1994,109,106,49,49,49,0,0,4
"181","RP Arnold ","Sri Lanka",1997,2007,180,179,48,48,48,0,0,2
"182","GJ Bailey ","Australia",2012,2016,90,90,48,48,48,0,0,3
"183","AM Rahane ","India",2011,2018,90,87,48,48,48,0,0,2
"184","J Smits ","Netherlands",2003,2009,38,38,48,41,0,41,7,4
"185","AT Carey ","Australia",2018,2020,36,36,47,42,0,42,5,5
"186","N Dickwella ","Sri Lanka",2014,2019,52,52,47,38,0,38,9,4
"187","A Flintoff (ENG/ICC)",NA,1999,2009,141,140,47,47,47,0,0,3
"188","RC Russell ","England",1987,1998,40,40,47,41,0,41,6,3
"189","KMDN Kulasekara ","Sri Lanka",2003,2017,184,181,46,46,46,0,0,3
"190","MDKJ Perera ","Sri Lanka",2013,2020,101,100,46,43,17,26,3,4
"191","HH Streak (Afr/ZIM)",NA,1993,2005,189,188,46,46,46,0,0,2
"192","CEL Ambrose ","West Indies",1988,2000,176,175,45,45,45,0,0,3
"193","DC Boon ","Australia",1984,1995,181,181,45,45,45,0,0,2
"194","GA Gooch ","England",1976,1995,125,125,45,45,45,0,0,2
"195","CG Greenidge ","West Indies",1975,1991,128,127,45,45,45,0,0,2
"196","RR Sarwan ","West Indies",2000,2013,181,176,45,45,45,0,0,2
"197","PR Stirling ","Ireland",2008,2020,117,113,45,45,45,0,0,3
"198","BA Stokes ","England",2011,2019,95,92,45,45,45,0,0,3
"199","D Williams ","West Indies",1988,1997,36,35,45,35,0,35,10,4
"200","DI Gower ","England",1978,1991,114,114,44,44,44,0,0,3
"201","NV Knight ","England",1996,2003,100,100,44,44,44,0,0,2
"202","CD McMillan ","New Zealand",1997,2007,197,193,44,44,44,0,0,2
"203","DO Obuya ","Kenya",2001,2012,74,74,44,39,16,23,5,4
"204","CR Woakes ","England",2011,2020,101,97,44,44,44,0,0,4
"205","Z Khan (Asia/INDIA)",NA,2000,2012,200,197,43,43,43,0,0,3
"206","CO Obuya ","Kenya",2001,2014,104,104,43,43,43,0,0,3
"207","RL Powell ","West Indies",1999,2005,109,107,43,43,43,0,0,3
"208","CMW Read ","England",2000,2006,36,35,43,41,0,41,2,5
"209","CR Ervine ","Zimbabwe",2010,2019,93,92,42,42,42,0,0,4
"210","BM McMillan ","South Africa",1991,1998,78,77,42,42,42,0,0,3
"211","KD Mills ","New Zealand",2001,2015,170,169,42,42,42,0,0,3
"212","Saeed Anwar ","Pakistan",1989,2003,247,242,42,42,42,0,0,3
"213","V Sibanda (Afr/ZIM)",NA,2003,2016,127,127,42,42,42,0,0,2
"214","K Srikkanth ","India",1981,1992,146,145,42,42,42,0,0,2
"215","GP Thorpe ","England",1993,2002,82,81,42,42,42,0,0,3
"216","NL McCullum ","New Zealand",2009,2015,84,83,41,41,41,0,0,4
"217","KR Rutherford ","New Zealand",1985,1995,121,121,41,41,41,0,0,4
"218","L Vincent ","New Zealand",2001,2007,102,100,41,41,39,2,0,2
"219","JV Coney ","New Zealand",1979,1987,88,86,40,40,40,0,0,3
"220","N Hussain ","England",1989,2003,88,88,40,40,40,0,0,2
"221","KP Pietersen (ENG/ICC)",NA,2004,2013,136,135,40,40,40,0,0,2
"222","Saqlain Mushtaq ","Pakistan",1995,2003,169,166,40,40,40,0,0,2
"223","RJ Shastri ","India",1981,1992,150,148,40,40,40,0,0,2
"224","Sikandar Raza ","Zimbabwe",2013,2020,100,99,40,40,40,0,0,3
"225","SV Carlisle ","Zimbabwe",1995,2005,111,111,39,39,39,0,0,3
"226","VVS Laxman ","India",1998,2006,86,85,39,39,39,0,0,4
"227","CH Lloyd ","West Indies",1973,1985,87,87,39,39,39,0,0,3
"228","BKG Mendis ","Sri Lanka",2016,2020,76,75,39,39,37,2,0,3
"229","PA Patel ","India",2003,2012,38,36,39,30,0,30,9,4
"230","TG Southee ","New Zealand",2008,2020,143,142,39,39,39,0,0,3
"231","TE Blain ","New Zealand",1986,1994,38,38,38,37,1,36,1,4
"232","DSBP Kuruppu ","Sri Lanka",1983,1990,54,54,38,30,4,26,8,4
"233","DL Murray ","West Indies",1973,1980,26,26,38,37,0,37,1,4
"234","HDRL Thirimanne ","Sri Lanka",2010,2019,127,125,38,38,38,0,0,2
"235","Azhar Mahmood ","Pakistan",1996,2007,143,140,37,37,37,0,0,2
"236","JM Bairstow ","England",2011,2020,77,74,37,35,22,13,2,4
"237","AG Cremer ","Zimbabwe",2009,2018,96,95,37,37,37,0,0,2
"238","GD McGrath (AUS/ICC)",NA,1993,2007,250,248,37,37,37,0,0,3
"239","S Matsikenyeri ","Zimbabwe",2002,2015,113,113,37,37,37,0,0,3
"240","Najibullah Zadran ","Afghanistan",2012,2019,67,66,37,37,37,0,0,3
"241","BKV Prasad ","India",1994,2001,161,160,37,37,37,0,0,3
"242","Sabbir Rahman ","Bangladesh",2014,2019,66,65,37,37,37,0,0,3
"243","RG Twose ","New Zealand",1995,2001,87,87,37,37,37,0,0,2
"244","DB Vengsarkar ","India",1976,1991,129,127,37,37,37,0,0,3
"245","CL White ","Australia",2005,2018,91,90,37,37,37,0,0,3
"246","Babar Azam ","Pakistan",2015,2019,74,73,36,36,36,0,0,2
"247","J Botha (Afr/SA)",NA,2005,2012,78,77,36,36,36,0,0,3
"248","IT Botham ","England",1976,1992,116,116,36,36,36,0,0,2
"249","AN Cook ","England",2006,2014,92,91,36,36,36,0,0,2
"250","HH Dippenaar (Afr/SA)",NA,1999,2007,107,106,36,36,34,2,0,3
"251","GH Dockrell ","Ireland",2010,2019,87,85,36,36,36,0,0,2
"252","G Gambhir ","India",2003,2013,147,144,36,36,36,0,0,3
"253","GB Hogg ","Australia",1996,2008,123,121,36,36,36,0,0,2
"254","Imran Khan ","Pakistan",1974,1992,175,172,36,36,36,0,0,3
"255","SMH Kirmani ","India",1976,1986,49,48,36,27,0,27,9,5
"256","GJ Whittall ","Zimbabwe",1993,2003,147,146,36,36,36,0,0,4
"257","Abdul Razzaq (Asia/PAK)",NA,1996,2011,265,262,35,35,35,0,0,2
"258","RS Bopara ","England",2007,2015,120,118,35,35,35,0,0,2
"259","MJ Greatbatch ","New Zealand",1988,1996,84,84,35,35,34,1,0,2
"260","MG Johnson ","Australia",2005,2015,153,152,35,35,35,0,0,2
"261","L Klusener ","South Africa",1996,2004,171,169,35,35,35,0,0,2
"262","Mohammad Ashraful (Asia/BDESH)",NA,2001,2013,177,177,35,35,35,0,0,2
"263","Waqar Younis ","Pakistan",1989,2003,262,259,35,35,35,0,0,2
"264","DM Bravo ","West Indies",2009,2020,113,110,34,34,34,0,0,3
"265","HDPK Dharmasena ","Sri Lanka",1994,2004,141,140,34,34,34,0,0,2
"266","Nasir Hossain ","Bangladesh",2011,2018,65,65,34,34,34,0,0,2
"267","PL Taylor ","Australia",1987,1992,83,83,34,34,34,0,0,2
"268","N Boje (Afr/SA)",NA,1995,2005,115,113,33,33,33,0,0,2
"269","RW Chakabva ","Zimbabwe",2008,2020,41,41,33,29,12,17,4,5
"270","CJ Chibhabha ","Zimbabwe",2005,2020,104,103,33,33,33,0,0,2
"271","NH Fairbrother ","England",1987,1999,75,75,33,33,33,0,0,3
"272","KM Jadhav ","India",2014,2020,73,72,33,33,33,0,0,3
"273","RS Kalpage ","Sri Lanka",1992,1999,86,86,33,33,33,0,0,3
"274","JM Kemp (Afr/SA)",NA,2001,2007,85,84,33,33,33,0,0,3
"275","Ramiz Raja ","Pakistan",1985,1997,198,193,33,33,33,0,0,2
"276","RR Singh ","India",1989,2001,136,135,33,33,33,0,0,2
"277","CJO Smith ","Scotland",2006,2009,27,26,33,22,0,22,11,5
"278","Soumya Sarkar ","Bangladesh",2014,2019,55,54,33,33,33,0,0,4
"279","Abdur Razzak ","Bangladesh",2004,2014,153,153,32,32,32,0,0,2
"280","MM Ali ","England",2014,2020,102,99,32,32,32,0,0,3
"281","Ghulam Shabber ","United Arab Emirates",2017,2019,23,23,32,30,0,30,2,4
"282","J Srinath ","India",1991,2003,229,227,32,32,32,0,0,2
"283","RW Taylor ","England",1973,1984,27,27,32,26,0,26,6,4
"284","TA Boult ","New Zealand",2012,2020,90,90,31,31,31,0,0,2
"285","DL Houghton ","Zimbabwe",1983,1997,63,63,31,29,19,10,2,4
"286","CK Kapugedera ","Sri Lanka",2006,2017,102,100,31,31,31,0,0,2
"287","AJ Lamb ","England",1982,1992,122,122,31,31,31,0,0,2
"288","SL Malinga ","Sri Lanka",2004,2019,226,220,31,31,31,0,0,2
"289","GR Marsh ","Australia",1986,1992,117,117,31,31,31,0,0,2
"290","M Morkel (Afr/SA)",NA,2007,2018,117,114,31,31,31,0,0,3
"291","JJ Roy ","England",2015,2020,87,85,31,31,31,0,0,2
"292","DR Smith ","West Indies",2004,2015,105,103,31,31,31,0,0,2
"293","R Ashwin ","India",2010,2017,111,110,30,30,30,0,0,3
"294","RG de Alwis ","Sri Lanka",1983,1988,31,31,30,27,0,27,3,5
"295","J Garner ","West Indies",1977,1987,98,98,30,30,30,0,0,3
"296","LK Germon ","New Zealand",1994,1997,37,37,30,21,0,21,9,4
"297","MA Holding ","West Indies",1976,1987,102,102,30,30,30,0,0,3
"298","SS Karim ","India",1997,2000,34,34,30,27,0,27,3,4
"299","WK Lees ","New Zealand",1979,1983,31,31,30,28,0,28,2,4
"300","CS MacLeod ","Scotland",2008,2019,66,65,30,30,30,0,0,4
"301","Mohammad Rizwan ","Pakistan",2015,2019,32,32,30,29,12,17,1,4
"302","Mushtaq Ahmed ","Pakistan",1989,2003,144,144,30,30,30,0,0,2
"303","M Ntini (ICC/SA)",NA,1998,2009,173,171,30,30,30,0,0,2
"304","CS Pandit ","India",1986,1992,36,36,30,15,0,15,15,4
"305","AU Rashid ","England",2009,2020,100,97,30,30,30,0,0,3
"306","PA Strang ","Zimbabwe",1994,2001,95,94,30,30,30,0,0,2
"307","Aftab Ahmed ","Bangladesh",2004,2010,85,85,29,29,29,0,0,3
"308","TM Alderman ","Australia",1981,1991,65,65,29,29,29,0,0,3
"309","Alok Kapali ","Bangladesh",2002,2011,69,69,29,29,29,0,0,2
"310","RD Berrington ","Scotland",2008,2019,78,77,29,29,29,0,0,2
"311","PR Downton ","England",1977,1988,28,28,29,26,0,26,3,4
"312","AJ Hall ","South Africa",1999,2007,88,87,29,29,29,0,0,2
"313","WW Hinds ","West Indies",1999,2010,119,119,29,29,29,0,0,2
"314","DJ Hussey ","Australia",2008,2013,69,69,29,29,29,0,0,2
"315","R Mutumbami ","Zimbabwe",2014,2020,36,36,29,24,2,22,5,4
"316","GP Swann ","England",2000,2013,79,78,29,29,29,0,0,3
"317","DC Thomas ","West Indies",2009,2013,21,21,29,23,0,23,6,3
"318","Ahmed Shehzad ","Pakistan",2009,2017,81,80,28,28,28,0,0,2
"319","PW Borren ","Netherlands",2006,2014,58,58,28,28,28,0,0,3
"320","JJ Crowe ","New Zealand",1983,1990,75,74,28,28,28,0,0,2
"321","AA Donald ","South Africa",1991,2003,164,162,28,28,28,0,0,2
"322","GC Dyer ","Australia",1986,1988,23,23,28,24,0,24,4,4
"323","GJ Hopkins ","New Zealand",2004,2010,25,23,28,27,0,27,1,5
"324","Mohammad Rafique (Asia/BDESH)",NA,1995,2007,125,125,28,28,28,0,0,2
"325","TM Odoyo (Afr/KENYA)",NA,1996,2014,136,136,28,28,28,0,0,2
"326","RJ Peterson ","South Africa",2002,2014,79,79,28,28,28,0,0,2
"327","LMP Simmons ","West Indies",2006,2015,68,68,28,28,26,2,0,2
"328","DW Steyn (Afr/SA)",NA,2005,2019,125,124,28,28,28,0,0,2
"329","BA Young ","New Zealand",1990,1999,74,73,28,28,22,6,0,3
"330","KLT Arthurton ","West Indies",1988,1999,105,104,27,27,27,0,0,2
"331","F Behardien ","South Africa",2013,2018,59,58,27,27,27,0,0,2
"332","SCJ Broad ","England",2006,2016,121,121,27,27,27,0,0,2
"333","CRD Fernando (Asia/SL)",NA,2001,2012,147,146,27,27,27,0,0,3
"334","Sir RJ Hadlee ","New Zealand",1973,1990,115,113,27,27,27,0,0,2
"335","AD Hales ","England",2014,2019,70,68,27,27,27,0,0,2
"336","KJ Hughes ","Australia",1977,1985,97,96,27,27,27,0,0,2
"337","EC Joyce (ENG/IRE)",NA,2006,2018,78,75,27,27,27,0,0,2
"338","B Kumar ","India",2012,2019,114,113,27,27,27,0,0,2
"339","Liton Das ","Bangladesh",2015,2020,36,36,27,24,16,8,3,4
"340","CJ McDermott ","Australia",1985,1996,138,138,27,27,27,0,0,1
"341","MR Marsh ","Australia",2011,2020,57,57,27,27,27,0,0,4
"342","Mohammed Shami ","India",2013,2020,77,76,27,27,27,0,0,2
"343","M Prabhakar ","India",1984,1996,130,128,27,27,27,0,0,3
"344","MJ Santner ","New Zealand",2015,2020,72,71,27,27,27,0,0,2
"345","MA Starc ","Australia",2010,2020,91,91,27,27,27,0,0,2
"346","Wahab Riaz ","Pakistan",2008,2019,89,88,27,27,27,0,0,2
"347","CA Walsh ","West Indies",1985,2000,205,204,27,27,27,0,0,1
"348","NW Bracken ","Australia",2001,2009,116,116,26,26,26,0,0,2
"349","PAJ DeFreitas ","England",1987,1997,103,103,26,26,26,0,0,2
"350","JEC Franklin ","New Zealand",2001,2013,110,109,26,26,26,0,0,2
"351","Habibul Bashar ","Bangladesh",1995,2007,111,111,26,26,26,0,0,2
"352","Imran Nazir ","Pakistan",1999,2009,79,78,26,26,26,0,0,3
"353","DS Lehmann ","Australia",1996,2005,117,116,26,26,26,0,0,3
"354","MF Maharoof ","Sri Lanka",2004,2016,109,107,26,26,26,0,0,2
"355","LE Plunkett ","England",2005,2019,89,87,26,26,26,0,0,2
"356","AG Prince (Afr/SA)",NA,2002,2007,52,51,26,26,26,0,0,4
"357","RA Smith ","England",1988,1996,71,71,26,26,26,0,0,2
"358","GP Wickramasinghe ","Sri Lanka",1990,2002,134,134,26,26,26,0,0,2
"359","CB Wishart ","Zimbabwe",1996,2005,90,90,26,26,26,0,0,2
"360","B Zuiderent ","Netherlands",1996,2011,57,57,26,26,26,0,0,2
"361","W Barresi ","Netherlands",2010,2019,32,32,25,17,4,13,8,3
"362","D Gough (ENG/ICC)",NA,1994,2006,159,157,25,25,25,0,0,1
"363","JR Hopes ","Australia",2005,2010,84,83,25,25,25,0,0,2
"364","Imran Tahir ","South Africa",2011,2019,107,104,25,25,25,0,0,2
"365","DT Johnston ","Ireland",2006,2013,67,65,25,25,25,0,0,2
"366","DJ Nash ","New Zealand",1992,2002,81,80,25,25,25,0,0,3
"367","DW Randall ","England",1976,1985,49,49,25,25,25,0,0,2
"368","PR Reiffel ","Australia",1992,1999,92,92,25,25,25,0,0,2
"369","Saeed Ajmal ","Pakistan",2008,2015,113,112,25,25,25,0,0,1
"370","MP Vaughan ","England",2001,2007,86,85,25,25,25,0,0,3
"371","Aaqib Javed ","Pakistan",1988,1998,163,159,24,24,24,0,0,1
"372","Asghar Afghan ","Afghanistan",2009,2019,111,108,24,24,24,0,0,2
"373","V Dahiya ","India",2000,2001,19,19,24,19,0,19,5,3
"374","SS Dighe ","India",2000,2001,23,23,24,19,0,19,5,4
"375","NM Hauritz ","Australia",2002,2011,58,57,24,24,24,0,0,2
"376","S Viswanath ","India",1985,1988,22,22,24,17,0,17,7,5
"377","Wasim Raja ","Pakistan",1973,1985,54,52,24,24,24,0,0,2
"378","M Amarnath ","India",1975,1989,85,84,23,23,23,0,0,2
"379","SL Campbell ","West Indies",1994,2001,90,90,23,23,23,0,0,3
"380","GS Chappell ","Australia",1971,1983,74,72,23,23,23,0,0,2
"381","DD Ebrahim ","Zimbabwe",2001,2005,82,82,23,23,23,0,0,2
"382","AH Jones ","New Zealand",1987,1995,87,87,23,23,23,0,0,2
"383","Junaid Siddique ","Bangladesh",2007,2011,54,54,23,23,22,1,0,3
"384","GR Larsen ","New Zealand",1990,1999,121,121,23,23,23,0,0,1
"385","S Lee ","Australia",1995,2001,45,44,23,23,23,0,0,2
"386","SV Manjrekar ","India",1988,1996,74,74,23,23,23,0,0,2
"387","GRJ Matthews ","Australia",1984,1993,59,59,23,23,23,0,0,3
"388","PJ Moor ","Zimbabwe",2014,2019,49,48,23,22,6,16,1,4
"389","JDS Neesham ","New Zealand",2013,2020,63,63,23,23,23,0,0,2
"390","PA Nixon ","England",2007,2007,19,19,23,20,0,20,3,2
"391","DN Patel ","New Zealand",1987,1997,75,75,23,23,23,0,0,2
"392","SW Poynter ","Ireland",2014,2019,21,21,23,22,3,19,1,4
"393","PL Symcox ","South Africa",1993,1999,80,80,23,23,23,0,0,2
"394","TJ Zoehrer ","Australia",1986,1994,22,22,23,21,0,21,2,4
"395","Zulqarnain ","Pakistan",1985,1989,16,14,23,18,0,18,5,4
"396","Afsar Zazai ","Afghanistan",2014,2017,17,16,22,20,0,20,2,3
"397","J Charles ","West Indies",2012,2016,48,48,22,21,11,10,1,2
"398","MW Gatting ","England",1977,1993,92,92,22,22,22,0,0,2
"399","SM Gavaskar ","India",1974,1987,108,107,22,22,22,0,0,4
"400","AF Giles ","England",1997,2005,62,62,22,22,22,0,0,3
"401","SE Marsh ","Australia",2008,2019,73,73,22,22,22,0,0,2
"402","PL Mommsen ","Scotland",2010,2017,44,43,22,22,22,0,0,2
"403","C Munro ","New Zealand",2013,2019,57,57,22,22,22,0,0,2
"404","SP O'Donnell ","Australia",1985,1991,87,87,22,22,22,0,0,2
"405","HH Pandya ","India",2016,2019,54,53,22,22,22,0,0,2
"406","K Rabada ","South Africa",2015,2019,75,73,22,22,22,0,0,2
"407","Rashid Khan ","Afghanistan",2015,2019,71,68,22,22,22,0,0,3
"408","RR Rossouw ","South Africa",2014,2016,36,35,22,22,22,0,0,4
"409","MN Waller ","Zimbabwe",2009,2018,79,79,22,22,22,0,0,1
"410","RGD Willis ","England",1973,1984,64,64,22,22,22,0,0,2
"411","UT Yadav ","India",2010,2018,75,73,22,22,22,0,0,3
"412","Abdul Qadir ","Pakistan",1983,1993,104,102,21,21,21,0,0,2
"413","DL Bairstow ","England",1979,1984,21,21,21,17,0,17,4,3
"414","Fakhar Zaman ","Pakistan",2017,2019,46,45,21,21,21,0,0,2
"415","JP Faulkner ","Australia",2013,2017,69,69,21,21,21,0,0,1
"416","Imrul Kayes ","Bangladesh",2008,2018,78,78,21,21,21,0,0,2
"417","ND McKenzie ","South Africa",2000,2009,64,64,21,21,21,0,0,3
"418","Manzoor Elahi ","Pakistan",1984,1995,54,54,21,21,21,0,0,2
"419","AF Milne ","New Zealand",2012,2017,40,39,21,21,21,0,0,3
"420","D Mongia ","India",2001,2007,57,56,21,21,21,0,0,3
"421","TM Moody ","Australia",1987,1999,76,76,21,21,21,0,0,2
"422","Mudassar Nazar ","Pakistan",1977,1989,122,119,21,21,21,0,0,2
"423","A Nel ","South Africa",2001,2008,79,77,21,21,21,0,0,2
"424","IK Pathan ","India",2004,2012,120,118,21,21,21,0,0,1
"425","MSK Prasad ","India",1998,1999,17,17,21,14,0,14,7,5
"426","KAJ Roach ","West Indies",2008,2019,92,90,21,21,21,0,0,2
"427","Samiullah Shinwari ","Afghanistan",2009,2019,84,84,21,21,21,0,0,2
"428","OA Shah ","England",2001,2009,71,71,21,21,21,0,0,2
"429","RV Uthappa ","India",2006,2015,46,44,21,19,15,4,2,3
"430","AR White ","Ireland",2006,2014,61,61,21,21,21,0,0,2
"431","AR Whittall ","Zimbabwe",1996,2000,63,63,21,21,21,0,0,3
"432","DJ Willey ","England",2015,2019,46,45,21,21,21,0,0,2
"433","Ashraf Ali ","Pakistan",1980,1985,16,16,20,17,0,17,3,3
"434","A Balbirnie ","Ireland",2010,2020,67,65,20,20,20,0,0,4
"435","GB Brent ","Zimbabwe",1996,2008,70,70,20,20,20,0,0,2
"436","TT Bresnan ","England",2006,2015,85,84,20,20,20,0,0,2
"437","AF Buurman ","Netherlands",2007,2011,17,17,20,17,2,15,3,3
"438","CK Coventry ","Zimbabwe",2003,2015,39,39,20,19,19,0,1,1
"439","DN Crookes ","South Africa",1994,2000,32,32,20,20,20,0,0,2
"440","DM de Silva ","Sri Lanka",2016,2020,45,45,20,20,20,0,0,2
"441","M Dillon ","West Indies",1997,2005,108,107,20,20,20,0,0,2
"442","JS Foster ","England",2001,2002,11,11,20,13,0,13,7,3
"443","MW Goodwin ","Zimbabwe",1998,2000,71,71,20,20,20,0,0,2
"444","JK Kamande ","Kenya",1999,2011,86,86,20,20,20,0,0,2
"445","H Klaasen ","South Africa",2018,2020,17,17,20,17,6,11,3,4
"446","CC Lewis ","England",1990,1998,53,53,20,20,20,0,0,2
"447","DA Minors ","Bermuda",2006,2007,20,20,20,16,4,12,4,3
"448","RS Morton ","West Indies",2002,2010,56,55,20,20,20,0,0,3
"449","Rubel Hossain ","Bangladesh",2009,2019,101,100,20,20,20,0,0,2
"450","Salman Butt ","Pakistan",2004,2010,78,77,20,20,20,0,0,2
"451","Shoaib Akhtar (Asia/ICC/PAK)",NA,1998,2011,163,162,20,20,20,0,0,2
"452","NS Sidhu ","India",1987,1998,136,135,20,20,20,0,0,2
"453","LPC Silva ","Sri Lanka",1999,2011,75,73,20,20,20,0,0,3
"454","SAR Silva ","Sri Lanka",1984,1985,20,20,20,17,0,17,3,3
"455","JE Taylor ","West Indies",2003,2017,90,88,20,20,20,0,0,2
"456","DR Tuffey ","New Zealand",2000,2010,94,92,20,20,20,0,0,3
"457","BJ Watling ","New Zealand",2010,2018,28,28,20,20,6,14,0,3
"458","Akram Raza ","Pakistan",1989,1995,49,49,19,19,19,0,0,2
"459","AJ Bichel ","Australia",1997,2004,67,66,19,19,19,0,0,2
"460","JG Bracewell ","New Zealand",1983,1990,53,52,19,19,19,0,0,3
"461","BL Cairns ","New Zealand",1974,1985,78,77,19,19,19,0,0,2
